round,test_acc_pct,test_loss,round_time_s
1,,,0.0099
2,,,0.0085
3,,,0.0084
4,,,0.0083
5,,,0.0083
6,,,0.0085
7,,,0.0084
8,,,0.0084
9,,,0.0084
10,,,0.0087
11,,,0.0107
12,,,0.0126
13,,,0.0092
14,,,0.0133
15,,,0.0083
16,,,0.0083
17,,,0.0084
18,,,0.0084
19,,,0.0084
20,,,0.0090
21,,,0.0086
22,,,0.0089
23,,,0.0086
24,,,0.0086
25,,,0.0085
round,test_acc_pct,test_loss,round_time_s
1,,,0.0105
2,,,0.0089
3,,,0.0097
4,,,0.0088
5,,,0.0094
6,,,0.0089
7,,,0.0156
8,,,0.0095
9,,,0.0125
10,,,0.0132
11,,,0.0135
12,,,0.0159
13,,,0.0138
14,,,0.0143
15,,,0.0193
16,,,0.0113
17,,,0.0128
18,,,0.0169
19,,,0.0115
20,,,0.0133
21,,,0.0119
22,,,0.0113
23,,,0.0149
24,,,0.0102
25,,,0.0101
1,,,0.0088
2,,,0.0087
3,,,0.0084
4,,,0.0084
5,,,0.0084
6,,,0.0083
7,,,0.0085
8,,,0.0085
9,,,0.0085
10,,,0.0086
11,,,0.2607
12,,,0.0087
13,,,0.0086
14,,,0.0085
15,,,0.0085
16,,,0.0085
17,,,0.0084
18,,,0.0084
19,,,0.0089
20,,,0.0119
21,,,0.0273
22,,,0.0137
23,,,0.0116
24,,,0.0134
25,,,0.0138
1,,,0.0110
2,,,0.0107
3,,,0.0107
4,,,0.0106
5,,,0.0106
6,,,0.0107
7,,,0.0175
8,,,0.0197
9,,,0.0161
10,,,0.0128
11,,,0.0131
12,,,0.0137
13,,,0.0123
14,,,0.0118
15,,,0.0111
16,,,0.0110
17,,,0.0109
18,,,0.0108
19,,,0.0111
20,,,0.0111
21,,,0.0109
22,,,0.0144
23,,,0.0111
24,,,0.0110
25,,,0.0104
1,,,0.0088
2,,,0.0088
3,,,0.0086
4,,,0.0085
5,,,0.0086
6,,,0.0086
7,,,0.0086
8,,,0.0086
9,,,0.0088
10,,,0.0086
11,,,0.0100
12,,,0.0091
13,,,0.0088
14,,,0.0087
15,,,0.0088
16,,,0.0086
17,,,0.0085
18,,,0.0085
19,,,0.0085
20,,,0.0085
21,,,0.0099
22,,,0.0085
23,,,0.0085
24,,,0.0085
25,,,0.0084
1,,,0.0089
2,,,0.0086
3,,,0.0088
4,,,0.0087
5,,,0.0088
6,,,0.0125
7,,,0.0100
8,,,0.0138
9,,,0.0097
10,,,0.0096
11,,,0.0091
12,,,0.0091
13,,,0.0089
14,,,0.0089
15,,,0.0089
16,,,0.0089
17,,,0.0088
18,,,0.0087
19,,,0.0091
20,,,0.0088
21,,,0.0087
22,,,0.0089
23,,,0.0102
24,,,0.0099
25,,,0.0107
1,,,0.0088
2,,,0.0086
3,,,0.0086
4,,,0.0086
5,,,0.0086
6,,,0.0085
7,,,0.0086
8,,,0.0085
9,,,0.0087
10,,,0.0090
11,,,0.0087
12,,,0.0090
13,,,0.0088
14,,,0.0087
15,,,0.0086
16,,,0.0085
