after_task,step,eval_task,acc
0,49,0,0.000000
0,49,1,0.000000
0,49,2,0.000000
0,49,3,0.000000
0,49,4,0.000000
0,49,5,0.000000
0,49,6,0.000000
0,49,7,0.000000
0,49,8,0.000000
0,49,9,0.000000
0,49,10,0.000000
0,49,11,0.000000
0,49,12,0.000000
0,49,13,0.000000
0,49,14,0.000000
0,49,15,0.000000
0,49,16,0.000000
0,49,17,0.000000
0,49,18,0.000000
0,49,19,0.000000
0,49,20,0.000000
0,49,21,0.000000
0,49,22,0.000000
0,49,23,0.000000
0,49,24,0.000000
0,49,25,0.000000
0,49,26,0.000000
0,49,27,0.000000
0,49,28,0.000000
0,49,29,0.000000
0,49,30,0.000000
0,49,31,0.000000
0,49,32,0.000000
0,49,33,0.000000
0,49,34,0.000000
0,49,35,0.000000
0,49,36,0.000000
0,49,37,0.000000
0,49,38,0.000000
0,49,39,0.000000
0,49,40,0.000000
0,49,41,0.000000
0,49,42,0.000000
0,49,43,0.000000
0,49,44,0.000000
0,49,45,0.000000
0,49,46,0.000000
0,49,47,0.000000
0,49,48,0.000000
0,49,49,0.000000
1,99,0,0.000000
1,99,1,0.000000
1,99,2,0.000000
1,99,3,0.000000
1,99,4,0.000000
1,99,5,0.000000
1,99,6,0.000000
1,99,7,0.000000
1,99,8,0.000000
1,99,9,0.000000
1,99,10,0.000000
1,99,11,0.000000
1,99,12,0.000000
1,99,13,0.000000
1,99,14,0.000000
1,99,15,0.000000
1,99,16,0.000000
1,99,17,0.000000
1,99,18,0.000000
1,99,19,0.000000
1,99,20,0.000000
1,99,21,0.000000
1,99,22,0.000000
1,99,23,0.000000
1,99,24,0.000000
1,99,25,0.000000
1,99,26,0.000000
1,99,27,0.000000
1,99,28,0.000000
1,99,29,0.000000
1,99,30,0.000000
1,99,31,0.000000
1,99,32,0.000000
1,99,33,0.000000
1,99,34,0.000000
1,99,35,0.000000
1,99,36,0.000000
1,99,37,0.000000
1,99,38,0.000000
1,99,39,0.000000
1,99,40,0.000000
1,99,41,0.000000
1,99,42,0.000000
1,99,43,0.000000
1,99,44,0.000000
1,99,45,0.000000
1,99,46,0.000000
1,99,47,0.000000
1,99,48,0.000000
1,99,49,0.000000
2,149,0,0.000000
2,149,1,0.000000
2,149,2,0.000000
2,149,3,0.000000
2,149,4,0.000000
2,149,5,0.000000
2,149,6,0.000000
2,149,7,0.000000
2,149,8,0.000000
2,149,9,0.000000
2,149,10,0.000000
2,149,11,0.000000
2,149,12,0.000000
2,149,13,0.000000
2,149,14,0.000000
2,149,15,0.000000
2,149,16,0.000000
2,149,17,0.000000
2,149,18,0.000000
2,149,19,0.000000
2,149,20,0.000000
2,149,21,0.000000
2,149,22,0.000000
2,149,23,0.000000
2,149,24,0.000000
2,149,25,0.000000
2,149,26,0.000000
2,149,27,0.000000
2,149,28,0.000000
2,149,29,0.000000
2,149,30,0.000000
2,149,31,0.000000
2,149,32,0.000000
2,149,33,0.000000
2,149,34,0.000000
2,149,35,0.000000
2,149,36,0.000000
2,149,37,0.000000
2,149,38,0.000000
2,149,39,0.000000
2,149,40,0.000000
2,149,41,0.000000
2,149,42,0.000000
2,149,43,0.000000
2,149,44,0.000000
2,149,45,0.000000
2,149,46,0.000000
2,149,47,0.000000
2,149,48,0.000000
2,149,49,0.000000
